Category,Nationality,FTA - 2001,FTA - 2002,FTA - 2003,FTA - 2004,FTA - 2005,FTA - 2006,FTA - 2007,FTA - 2008,FTA - 2009,FTA - 2010,FTA - 2011,FTA - 2012,FTA - 2013,FTA - 2014,FTA - 2015,FTA - 2016,FTA - 2017,FTA - 2018,FTA - 2019,FTA - 2020,FTA - 2021,FTA - 2022,FTA - 2023
South East Asia,Maynnar,"3,417.00","3,037.00","3,609.00","4,932.00","5,652.00","7,734.00","7,977.00","12,147.00","12,849.00","14,719.00","25,043.00","30,588.00","34,916.00","54,631.00","55,341.00","51,376.00",,,,,,,
South East Asia,Philippines,"7,199.00","7,647.00","8,091.00","10,492.00","11,422.00","15,644.00","15,567.00","17,222.00","21,987.00","24,534.00","31,151.00","33,323.00","42,224.00","43,240.00","47,912.00","52,692.00","53,963.00","53,473.00","5,214.48","1,307.20",725.16,"3,072.39","4,408.21"
South East Asia,Singapore,"42,824.00","44,306.00","48,368.00","60,710.00","68,666.00","82,574.00","92,908.00","97,851.00","95,328.00","107,487.00","119,022.00","131,452.00","143,025.00","150,731.00","152,238.00","163,688.00","175,852.00","183,581.00","17,902.09","4,487.81","2,489.59","10,547.99","15,134.07"
South East Asia,Thailand,"18,623.00","19,649.00","25,754.00","33,442.00","41,978.00","46,623.00","50,037.00","58,065.00","67,309.00","76,617.00","92,404.00","105,141.00","117,136.00","121,362.00","115,860.00","119,663.00","140,087.00","166,293.00","16,216.24","4,065.19","2,255.14","9,554.67","13,708.88"
South East Asia,Others,"2,276.00","2,210.00","3,276.00","3,736.00","4,774.00","4,875.00","6,427.00","12,237.00","7,307.00","10,438.00","13,409.00","14,998.00","16,357.00","21,600.00","21,073.00","21,404.00",,,,,,,
South East Asia,Total,"139,975.00","149,291.00","168,926.00","209,110.00","241,408.00","281,726.00","303,475.00","332,925.00","360,191.00","439,043.00","521,755.00","540,914.00","630,054.00","685,805.00","700,298.00","745,868.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
East Asia,China,"18,657.00","23,207.00","33,837.00","52,279.00","63,791.00","88,833.00","118,127.00","127,032.00","123,673.00","143,445.00","142,218.00","168,952.00","174,712.00","181,020.00","206,322.00","251,313.00","247,235.00","281,768.00","27,476.90","6,888.08","3,821.12","16,189.50","23,228.41"
East Asia,Hong Kong,918.00,581.00,"1,070.00","1,965.00","1,908.00","1,466.00",914.00,519.00,"1,396.00","1,507.00","1,712.00","1,743.00",166.00,86.00,105.00,141.00,,,,,,,
East Asia,Japan,"80,634.00","59,709.00","77,996.00","96,851.00","103,082.00","119,292.00","145,538.00","145,352.00","124,756.00","168,019.00","193,525.00","220,015.00","220,283.00","219,516.00","207,415.00","208,847.00","222,527.00","236,236.00","23,036.80","5,775.01","3,203.65","13,573.38","19,474.84"
East Asia,Korea,"29,685.00","31,552.00","36,982.00","49,314.00","53,585.00","71,920.00","85,292.00","79,824.00","70,489.00","95,612.00","108,680.00","109,469.00","112,619.00","106,870.00","102,993.00","111,076.00",,,,,,,
East Asia,Others,570.00,375.00,621.00,"1,218.00","1,201.00","1,474.00","2,166.00","2,503.00","2,483.00","3,364.00","5,612.00","35,443.00","39,525.00","39,300.00","38,935.00","45,099.00",,,,,,,
East Asia,Total,"130,464.00","115,424.00","150,506.00","201,627.00","223,567.00","282,985.00","352,037.00","355,230.00","322,797.00","411,947.00","475,951.00","535,622.00","547,305.00","546,792.00","555,770.00","616,476.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
Australasia,Australia,"52,691.00","50,743.00","58,730.00","81,608.00","96,258.00","109,867.00","135,925.00","146,209.00","149,074.00","169,647.00","192,592.00","202,105.00","218,967.00","239,762.00","263,101.00","293,625.00","324,243.00","346,486.00","33,787.95","8,470.17","4,698.78","19,907.99","28,563.64"
Australasia,New Zealand,"11,700.00","10,811.00","13,283.00","16,762.00","20,463.00","23,493.00","27,498.00","29,261.00","30,876.00","37,024.00","36,839.00","38,917.00","40,801.00","42,864.00","45,171.00","50,917.00","56,597.00","60,664.00","5,915.71","1,482.99",822.68,"3,485.56","5,001.02"
Australasia,Fiji,"1,422.00","1,499.00","1,519.00","2,003.00","2,326.00","2,412.00","2,635.00","2,129.00","2,031.00","2,508.00","2,705.00","2,793.00","2,865.00","2,784.00","3,058.00","3,731.00",,,,,,,
Australasia,Others,291.00,208.00,317.00,571.00,731.00,"1,664.00","1,005.00",709.00,470.00,"1,096.00","3,734.00",696.00,941.00,884.00,771.00,835.00,,,,,,,
Australasia,Total,"66,104.00","63,261.00","73,849.00","100,944.00","119,778.00","137,436.00","167,063.00","178,308.00","182,451.00","210,275.00","233,165.00","244,511.00","263,574.00","286,294.00","312,101.00","349,108.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
Stateless,Stateless,"9,393.00","13,487.00","15,516.00","1,434.00","13,490.00",647.00,"26,237.00","1,025.00",624.00,670.00,"1,144.00","1,426.00","1,824.00","1,879.00","2,000.00",,,,,,,,
Others,Others,"33,319.00","9,366.00","10,232.00","13,692.00","21,818.00","25,320.00","32,676.00","34,540.00","15,588.00","12,087.00","12,403.00","5,930.00","21,509.00","28,788.00","22,557.00","23,151.00",,,,,,,
Grand Total,Grand Total,"2,537,282.00","2,384,364.00","2,726,213.00","3,456,698.00","3,918,610.00","4,447,167.00","5,081,504.00","5,282,603.00","5,167,699.00","5,775,692.00","6,309,222.00","6,577,745.00","6,967,601.00","7,679,099.00","8,027,133.00","8,804,411.00",10035803.0,10557976.0,10930000.0,2740000.0,1520000.0,6440000.0,9240000.0
